region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,state,posting_date,combined,car_msrp
orange county,23500,1929,ford,model a,excellent,4 cylinders,gas,501,clean,manual,A1919359,,,convertible,,ca,2021-04-28 18:53:33+00:00,1929.0 ford model a,1400
york,5900,1935,chevrolet,pick up,,6 cylinders,gas,99999,clean,manual,14FB066338,,full-size,pickup,green,pa,2021-04-17 18:31:22+00:00,1935.0 chevrolet pick up,26800
wichita,10000,1950,jeep,willys,fair,4 cylinders,gas,44425,clean,manual,CJ3A41187,4wd,,,green,ks,2021-04-08 15:47:49+00:00,1950.0 jeep willys,1090
huntsville / decatur,18951,1951,ford,custom,excellent,8 cylinders,gas,46016,clean,manual,B1DL120963,rwd,full-size,coupe,white,al,2021-05-04 17:07:52+00:00,1951.0 ford custom,1515
palm springs,15000,1953,jeep,willy's cj3-a,excellent,4 cylinders,gas,42000,clean,manual,4J25629,4wd,full-size,offroad,yellow,ca,2021-04-13 08:15:32+00:00,1953.0 jeep willy's cj3-a,1395
moses lake,15000,1954,chevrolet,powerglide,excellent,6 cylinders,gas,88056,clean,automatic,B540022943,rwd,full-size,sedan,green,wa,2021-05-03 02:05:26+00:00,1954.0 chevrolet powerglide,22680
myrtle beach,17000,1955,chevrolet,pickup,good,6 cylinders,gas,99999,clean,manual,H255B003251,rwd,full-size,pickup,grey,sc,2021-04-04 16:51:01+00:00,1955.0 chevrolet pickup,13125
tucson,43995,1955,chevrolet,210,excellent,8 cylinders,gas,74695,clean,manual,VB55L028896000000,,,sedan,,az,2021-05-04 17:55:51+00:00,1955.0 chevrolet 210,27645
madison,36500,1957,chevrolet,3100 pickup,excellent,8 cylinders,gas,99999,clean,automatic,3A570119672,4wd,full-size,pickup,purple,wi,2021-04-05 13:05:08+00:00,1957.0 chevrolet 3100 pickup,43635
boulder,27000,1961,mini,cooper,excellent,4 cylinders,gas,10,clean,manual,AA25S7L43120,fwd,compact,coupe,yellow,co,2021-04-23 03:35:12+00:00,1961.0 mini cooper,33195
oneonta,14250,1962,chevrolet,corvair,excellent,6 cylinders,gas,44988,clean,manual,20927W145834,,,,black,ny,2021-05-04 21:31:04+00:00,1962.0 chevrolet corvair,41585
deep east texas,22000,1963,ford,unibody pickup,good,6 cylinders,gas,43760,clean,automatic,F10JD371972,4wd,mid-size,pickup,black,tx,2021-04-20 23:18:03+00:00,1963.0 ford unibody pickup,2019
chicago,23900,1964,dodge,dart,,,gas,1,clean,automatic,L442670172,,,,,il,2021-04-29 20:41:20+00:00,1964.0 dodge dart,25630
san antonio,7500,1965,ford,mustang,good,,gas,1000000,clean,automatic,5R07C244798,,,,,tx,2021-04-28 23:40:44+00:00,1965.0 ford mustang,2427
"kansas city, MO",28000,1965,ford,mustang convertible,good,8 cylinders,gas,90000,clean,automatic,5F08F155255,,,convertible,red,ks,2021-04-27 17:42:50+00:00,1965.0 ford mustang convertible,2871
asheville,21500,1965,mercedes-benz,benz 190c,excellent,4 cylinders,gas,354,clean,automatic,1.1001E+13,rwd,full-size,sedan,grey,nc,2021-04-20 20:30:00+00:00,1965.0 mercedes-benz benz 190c,5398
york,5900,1965,ford,falcon,,6 cylinders,gas,99999,clean,automatic,5H16T253213,,full-size,sedan,green,pa,2021-05-01 17:53:31+00:00,1965.0 ford falcon,8400
