,channel_name,channel_subs,video_title,publication_date,views,likes,channel_url,video_url
0,巨將汽車,14萬,【中古車值多少】Volvo是曾經的憧憬，但下一台車只會考慮Lexus?｜2021 Volvo XC40 T3 Momentum,2024年5月3日,"25,666",148,https://www.youtube.com/@gj888,https://www.youtube.com/watch?v=AmE821Lz8wg&list=UULFmsX3gl3KZVf4KtjsjtJIDQ&index=1&pp=iAQB
0,巨將汽車,14萬,【巨將汽車】被世人遺忘的七人座，空間表現竟出人意料!?,2024年4月26日,"15,249",235,https://www.youtube.com/@gj888,https://www.youtube.com/watch?v=AmE821Lz8wg&list=UULFmsX3gl3KZVf4KtjsjtJIDQ&index=1&pp=iAQB
0,巨將汽車,14萬,【你的第一台車】小資女孩必看!!!車子品牌很多，第一台車不知道該選擇哪一個?別急，先跟著我去家鄉走走吧~,2024年4月19日,"6,428",119,https://www.youtube.com/@gj888,https://www.youtube.com/watch?v=AmE821Lz8wg&list=UULFmsX3gl3KZVf4KtjsjtJIDQ&index=1&pp=iAQB
0,巨將汽車,14萬,【中古車值多少】Mazda最熱銷的車，人品爆發，通病都沒中獎？｜2017 Mazda CX-5 SKY-G 2WD旗艦型,2024年4月5日,"10,199",90,https://www.youtube.com/@gj888,https://www.youtube.com/watch?v=AmE821Lz8wg&list=UULFmsX3gl3KZVf4KtjsjtJIDQ&index=1&pp=iAQB
0,巨將汽車,14萬,【巨將汽車】車內突擊檢查！業務的車上都放甚麼？你擺這個在車上幹麻...,2024年3月29日,"8,282",90,https://www.youtube.com/@gj888,https://www.youtube.com/watch?v=AmE821Lz8wg&list=UULFmsX3gl3KZVf4KtjsjtJIDQ&index=1&pp=iAQB
0,巨將汽車,14萬,【中古車值多少】這太玄了！開沒多久換四條胎，磨到見鋼絲，原廠這樣回應...｜2020 Volkswagen T-Cross 230 TSI Life,2024年3月22日,"8,565",62,https://www.youtube.com/@gj888,https://www.youtube.com/watch?v=AmE821Lz8wg&list=UULFmsX3gl3KZVf4KtjsjtJIDQ&index=1&pp=iAQB
0,巨將汽車,14萬,【GJ聊一下】車是負資產嗎？｜有錢人只租車不買車？｜買事故車其實撿便宜？,2024年3月19日,"18,603",137,https://www.youtube.com/@gj888,https://www.youtube.com/watch?v=AmE821Lz8wg&list=UULFmsX3gl3KZVf4KtjsjtJIDQ&index=1&pp=iAQB
0,巨將汽車,14萬,【巨將汽車】多花20萬選四驅? 詢問度超高 聽到價格就軟掉｜2021 Volvo V60 B5 R-Design 2.0,2024年3月15日,"57,700",253,https://www.youtube.com/@gj888,https://www.youtube.com/watch?v=AmE821Lz8wg&list=UULFmsX3gl3KZVf4KtjsjtJIDQ&index=1&pp=iAQB
0,巨將汽車,14萬,【巨將汽車】你敢提問我就敢答｜好養的歐系車？｜NX300真的開不壞？,2024年3月12日,"45,022",309,https://www.youtube.com/@gj888,https://www.youtube.com/watch?v=AmE821Lz8wg&list=UULFmsX3gl3KZVf4KtjsjtJIDQ&index=1&pp=iAQB
0,巨將汽車,14萬,【中古車值多少】賣現代Custin改開OPEL，強勢七人座，為何隔年就賣？｜2023 Hyundai Custin GLT-B VIP,2024年3月8日,"49,900",258,https://www.youtube.com/@gj888,https://www.youtube.com/watch?v=AmE821Lz8wg&list=UULFmsX3gl3KZVf4KtjsjtJIDQ&index=1&pp=iAQB
